Week,Fecha Act,SumaDeBEGINNER NAV,SumaDeCLOSE TRADE,SumaDeNET LIQUID VALUE,SumaDeLIQUIDACION,SumaDeCASH NAV,SumaDeOPEN CASH FLOW,SumaDeFREE CASH,SumaDeTRADING,Fondo,CloseTrade_BRUTO
Week Sept 5 to 9,2022-09-09,120000.0,0.0,120000.0,0.0,120000.0,0.0,120000.0,0.0,ESP,
Week Sept 12 to 16,2022-09-15,177000.0,0.0,177000.0,0.0,177000.0,0.0,177000.0,0.0,ESP,
Week Sept 19 to 23,2022-09-23,217000.0,0.0,217000.0,0.0,217000.0,0.0,217000.0,0.0,ESP,
Week Sept 26 to 30,2022-09-30,307000.0,0.0,307000.0,555.0,314386.0,7386.0,105040.0,201960.0,ESP,
Week Oct 3 to 7,2022-10-07,317000.0,0.0,317000.0,555.0,324386.0,7386.0,115040.0,201960.0,ESP,
Week Oct 10 a 14,2022-10-14,415000.0,0.0,415000.0,555.0,422386.0,7386.0,213040.0,201960.0,ESP,
Week Oct 17 to 21,2022-10-21,455000.0,0.0,455000.0,6000.0,462386.0,7386.0,253040.0,201960.0,ESP,
Week Oct 24 to 28,2022-10-28,598000.0,7386.0,605386.0,0.0,605386.0,,605386.0,0.0,ESP,
Week Oct 31 to 4,2022-11-04,698500.0,7386.0,705886.0,0.0,705886.0,,705886.0,0.0,ESP,
Week Nov 7 to 11,2022-11-10,737500.0,7386.0,744886.0,59090.0,803976.0,59090.0,29796.0,715090.0,ESP,
Week Nov 14 to 18,2022-11-18,747500.0,7386.0,754886.0,59090.0,813976.0,59090.0,39796.0,715090.0,ESP,
Week Nov 21 to 25,2022-11-25,759500.0,7386.0,766886.0,73196.0,840082.0,73196.0,51796.0,715090.0,ESP,
Week Nov 28 to 2,2022-12-02,759500.0,7386.0,766886.0,73196.0,840082.0,73196.0,51796.0,715090.0,ESP,
Week Dec 5 to 9,2022-12-09,789500.0,7386.0,796886.0,73196.0,870082.0,73196.0,81796.0,715090.0,ESP,
Week Dec 12 to 16,2022-12-16,871500.0,80582.0,959468.0,0.0,959468.0,0.0,959468.0,0.0,ESP,
Week Dec 19 to 23,2022-12-21,881500.0,80582.0,969468.0,0.0,969468.0,0.0,969468.0,0.0,ESP,
Week Dec 26 to 30,2022-12-29,993550.0,80582.0,1081518.0,0.0,1081518.0,0.0,1081518.0,0.0,ESP,
Week Jan 2 to 6,2023-01-05,1063550.0,80582.0,1151518.0,0.0,1151518.0,0.0,1151518.0,0.0,ESP,
Week Jan 9 to 13,2023-01-12,1063550.0,80582.0,1151518.0,0.0,1151518.0,0.0,1151518.0,0.0,ESP,
Week Jan 16 to 20,2023-01-20,1156050.0,80582.0,1244018.0,0.0,1244018.0,0.0,1244018.0,0.0,ESP,
Week Jan 23 to 27,2023-01-26,1201050.0,80582.0,1289018.0,0.0,1289018.0,0.0,1289018.0,0.0,ESP,
Week Jan 30 to 3,2023-02-03,1257050.0,80582.0,1345018.0,0.0,1345018.0,0.0,1345018.0,0.0,ESP,
Week Feb 6 to 10,2023-02-09,1287050.0,80582.0,1375018.0,0.0,1375018.0,0.0,1375018.0,0.0,ESP,
Week Feb 13 to 17,2023-02-17,1297050.0,80582.0,1385018.0,0.0,1385018.0,0.0,1385018.0,0.0,ESP,
Week Feb 20 to 24,2023-02-24,1297050.0,80582.0,1381018.0,0.0,1381018.0,0.0,1381018.0,0.0,ESP,
Week Feb 27 to 3,2023-03-03,1297050.0,80582.0,1365018.0,0.0,1365018.0,0.0,1365018.0,0.0,ESP,
Week Mar 6 to 10,2023-03-10,1302050.0,80582.0,1367018.0,0.0,1367018.0,0.0,1367018.0,0.0,ESP,
